dt vl vr
1512745844.328   11.321    3.688    0.150 -0.914  0.0322 -0.0083  0.9370 -0.0391 -0.0182 -0.0202
1512745844.345   11.325    3.689    0.150 -0.914  0.0039  0.0024  0.9417 -0.0455 -0.0246 -0.0196
1512745844.352   11.325    3.689    0.150 -0.914  0.0229  0.0112  0.9609 -0.0434 -0.0206 -0.0232
1512745844.369   11.324    3.690    0.150 -0.914 -0.0117 -0.0071  0.9304 -0.0433 -0.0266 -0.0204
1512745844.389   11.319    3.695    0.150 -0.914  0.0103  0.0122  0.9392 -0.0453 -0.0277 -0.0217
1512745844.395   11.319    3.695    0.150 -0.914  0.0188  0.0044  0.9456 -0.0453 -0.0240 -0.0244
1512745844.413   11.318    3.695    0.150 -0.914  0.0076  0.0151  0.9482 -0.0458 -0.0278 -0.0221
1512745844.433   11.326    3.691    0.150 -0.914  0.0188  0.0225  0.9392 -0.0474 -0.0176 -0.0206
1512745844.440   11.326    3.691    0.150 -0.914  0.0225 -0.0046  0.9485 -0.0417 -0.0281 -0.0206
1512745844.460   11.325    3.687    0.150 -0.914  0.0020  0.0129  0.9473 -0.0376 -0.0309 -0.0216
1512745844.466   11.325    3.687    0.150 -0.914  0.0066  0.0042  0.9529 -0.0485 -0.0268 -0.0225
1512745844.484   11.321    3.684    0.150 -0.914  0.0120  0.0229  0.9485 -0.0475 -0.0234 -0.0213
1512745844.508   11.333    3.661    0.150 -0.914  0.0027  0.0088  0.9238 -0.0431 -0.0226 -0.0250
1512745844.530   11.336    3.690    0.150 -0.914  0.0051  0.0090  0.9358 -0.0414 -0.0261 -0.0221
1512745844.551   11.317    3.710    0.150 -0.914  0.0103  0.0076  0.9487 -0.0429 -0.0249 -0.0213
1512745844.557   11.317    3.710    0.150 -0.914  0.0210  0.0037  0.9380 -0.0453 -0.0249 -0.0205
1512745844.576   11.315    3.710    0.150 -0.914  0.0151  0.0127  0.9429 -0.0471 -0.0236 -0.0190
1512745844.581   11.315    3.710    0.150 -0.914  0.0007  0.0112  0.9392 -0.0450 -0.0260 -0.0233
1512745844.604   11.322    3.713    0.150 -0.914  0.0166 -0.0054  0.9478 -0.0421 -0.0208 -0.0209
1512745844.611   11.322    3.713    0.150 -0.914 -0.0042  0.0254  0.9331 -0.0478 -0.0312 -0.0256
1512745844.631   11.327    3.709    0.150 -0.914  0.0183  0.0298  0.9373 -0.0482 -0.0224 -0.0213
1512745844.653   11.330    3.713    0.150 -0.914 -0.0017  0.0110  0.9336 -0.0449 -0.0278 -0.0257
1512745844.660   11.330    3.713    0.150 -0.914  0.0234  0.0066  0.9526 -0.0466 -0.0245 -0.0196
1512745844.680   11.341    3.710    0.150 -0.914  0.0010  0.0007  0.9480 -0.0449 -0.0268 -0.0250
1512745844.687   11.341    3.710    0.150 -0.914  0.0222  0.0103  0.9358 -0.0446 -0.0270 -0.0201
1512745844.706   11.343    3.708    0.150 -0.914 -0.0007  0.0171  0.9292 -0.0423 -0.0274 -0.0225
1512745844.712   11.343    3.708    0.150 -0.914  0.0320  0.0190  0.9468 -0.0458 -0.0236 -0.0217
1512745844.732   11.338    3.704    0.150 -0.914  0.0107  0.0139  0.9268 -0.0441 -0.0206 -0.0202
1512745844.740   11.338    3.704    0.150 -0.914  0.0042  0.0154  0.9355 -0.0437 -0.0277 -0.0246
1512745844.761   11.328    3.720    0.150 -0.914  0.0071  0.0085  0.9448 -0.0426 -0.0264 -0.0218
1512745844.768   11.328    3.720    0.150 -0.914  0.0273  0.0159  0.9497 -0.0443 -0.0213 -0.0226
1512745844.790   11.325    3.687    0.150 -0.914 -0.0007  0.0095  0.9326 -0.0463 -0.0261 -0.0205
1512745844.809   11.326    3.687    0.150 -0.914 -0.0176  0.0142  0.9429 -0.0454 -0.0264 -0.0233
1512745844.816   11.326    3.687    0.150 -0.914  0.0374  0.0061  0.9443 -0.0437 -0.0228 -0.0212
1512745844.836   11.317    3.683    0.150 -0.914  0.0122  0.0374  0.9536 -0.0441 -0.0258 -0.0185
1512745844.842   11.317    3.683    0.150 -0.914  0.0085  0.0283  0.9299 -0.0457 -0.0272 -0.0228
1512745844.860   11.316    3.682    0.150 -0.914  0.0442  0.0107  0.9553 -0.0438 -0.0302 -0.0246
1512745844.866   11.316    3.682    0.150 -0.914  0.0010  0.0139  0.9524 -0.0445 -0.0232 -0.0229
1512745844.885   11.308    3.695    0.150 -0.914  0.0046  0.0083  0.9319 -0.0391 -0.0246 -0.0194
1512745844.906   11.310    3.714    0.150 -0.914  0.0015  0.0105  0.9363 -0.0399 -0.0249 -0.0220
